"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","person"
"9089","@ferrykoto @faizalassegaf @jokowi @prabowo Kurang duite cak @ferrykoto ....<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"ferrykoto",2018-04-15 12:29:52,FALSE,"985464648903213056","985495419223343104","24893875","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ARidwanP",0,FALSE,FALSE,NA,NA,"Prabowo"
"9090","@CintaNKRI12 @MbahUyok @prabowo Kalo gaji di CHINA lebih tinggi misal, napa mesti ke indonesia berbondong bondong,<U+2026> https://t.co/bWkEhshdVE",FALSE,0,"CintaNKRI12",2018-04-15 12:29:41,TRUE,"984672679180537856","985495375988473856","891673537949388801","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AbdeAbank",0,FALSE,FALSE,NA,NA,"Prabowo"
"9091","@ferrykoto @faizalassegaf @jokowi @prabowo Ngono kuwi jenenge isuk dele sore tempe ..... Tempe kuwi barang bosok lho ! ... <ed><U+00A0><U+00BD><ed><U+00B8><U+00B5><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BD><ed><U+00B8><U+009C> ...",FALSE,0,"ferrykoto",2018-04-15 12:29:28,FALSE,"985464648903213056","985495321688944640","24893875","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EdiKeceput",0,FALSE,FALSE,NA,NA,"Prabowo"
"9092","RT @iwan_binjai: @04Nakula @prabowo @Nurmantyo_Gatot @ajunsii @GagakNew @HusinShihab @BertaDwita @SinthaS5 @AfifFuadS @qitmr @rdhs_tio @And<U+2026>",FALSE,0,NA,2018-04-15 12:29:22,FALSE,NA,"985495295776583681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YSubandriyo",1,TRUE,FALSE,NA,NA,"Prabowo"
"9093","RT @zonk_brain: @GuritnaPramana Oh.....
Gak jadi candi kaya hambalang yaa??? 
@Gerindra 
@PKSejahtera 
@DppPDEMOKRAT 
@dpp_pbb
@dpp_pan 
@P<U+2026>",FALSE,0,NA,2018-04-15 12:29:22,FALSE,NA,"985495293348085760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zonk_brain",2,TRUE,FALSE,NA,NA,"Prabowo"
"9094","RT @AndyArch77: @04Nakula @HipHop74934648 @prabowo @Nurmantyo_Gatot @ajunsii @GagakNew @HusinShihab @BertaDwita @SinthaS5 @AfifFuadS @qitmr<U+2026>",FALSE,0,NA,2018-04-15 12:29:14,FALSE,NA,"985495259021885441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YSubandriyo",1,TRUE,FALSE,NA,NA,"Prabowo"
"9095","RT @04Nakula: @AndyArch77 @HipHop74934648 @prabowo @Nurmantyo_Gatot @ajunsii @GagakNew @HusinShihab @BertaDwita @SinthaS5 @AfifFuadS @qitmr<U+2026>",FALSE,0,NA,2018-04-15 12:29:14,FALSE,NA,"985495259017658368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YSubandriyo",1,TRUE,FALSE,NA,NA,"Prabowo"
"9096","@prabowo @jokowi 2014 jendral 08 sudah menang, apalagi 2019 menang mutlak asal tidak dicurangi lagi. #RakyatB3rsamaJKW",FALSE,0,"prabowo",2018-04-15 12:29:13,FALSE,NA,"985495256526237699","40580714","<a href=""http://twitter.com"" rel=""nofollow"">Twitter for Google TV</a>","EniTania4",0,FALSE,FALSE,NA,NA,"Prabowo"
"9097","RT @AndyArch77: @HipHop74934648 @04Nakula @prabowo @Nurmantyo_Gatot @ajunsii @GagakNew @HusinShihab @BertaDwita @SinthaS5 @AfifFuadS @qitmr<U+2026>",FALSE,0,NA,2018-04-15 12:29:10,FALSE,NA,"985495245553979392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YSubandriyo",1,TRUE,FALSE,NA,NA,"Prabowo"
"9098","RT @HipHop74934648: @04Nakula @prabowo @Nurmantyo_Gatot @ajunsii @GagakNew @HusinShihab @BertaDwita @SinthaS5 @AfifFuadS @qitmr @rdhs_tio @<U+2026>",FALSE,0,NA,2018-04-15 12:29:09,FALSE,NA,"985495242076913665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YSubandriyo",1,TRUE,FALSE,NA,NA,"Prabowo"
"9099","Qudori Indobrmter,msh ngotot,klo @prabowo msh bs berubah,mau jd cawapres Jokowi.Geblek.Sdh deklarasi cong.Bayar,bay<U+2026> https://t.co/WdcIHMn0QV",FALSE,0,NA,2018-04-15 12:29:05,TRUE,NA,"985495221784817664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khairunwono",0,FALSE,FALSE,NA,NA,"Prabowo"
"9100","@bangagoeng96 @rizkigross @nana___rosaa @Grand_Light88 @ArumsariTika @SEKNAS_RI @takdelok @DonnyNadasi95 @wr200465<U+2026> https://t.co/TNmWX1CXQV",FALSE,2,"bangagoeng96",2018-04-15 12:28:59,TRUE,"985492647329464320","985495199429419008","451915398","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CintaNKRI12",1,FALSE,FALSE,NA,NA,"Prabowo"
"9101","RT @04Nakula: Gua ngakak saat ada pendukung @prabowo bilang mereka sama gagah nya.. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

Pak @Nurmantyo_Gatot gagah saat berorasi membakar s<U+2026>",FALSE,0,NA,2018-04-15 12:28:43,FALSE,NA,"985495129682149376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YSubandriyo",44,TRUE,FALSE,NA,NA,"Prabowo"
"9102","RT @ferrykoto: Bro @faizalassegaf sampeyan onok opo? Sikap kritis itu bukan destruktif apalagi membenci membabi buta.

Satu hari serang @jo<U+2026>",FALSE,0,NA,2018-04-15 12:28:39,FALSE,NA,"985495113789947905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b_fjakarta",128,TRUE,FALSE,NA,NA,"Prabowo"
